0,1,2,3,4,5
B0H3RUI0V3,,腾飞体育阳光海少儿综合馆,体育休闲服务;运动场馆;综合体育馆,金海路阳光海27-9(碧海湾地铁站B口步行150米),"113.855933,22.573930"
B0FFFQB5I8,,舞池,体育休闲服务;运动场馆;健身中心,西乡大道新湖路北碧海湾高尔夫俱乐部附近,"113.852068,22.583979"
B0FFF5R8AP,B02F37UIGT,深圳大学-元平体育馆,体育休闲服务;运动场馆;综合体育馆,深圳大学北门,"113.938656,22.535831"
B0FFH22Y5V,,新民三村球场,体育休闲服务;运动场馆;运动场所,长安镇新丰路二巷,"113.773346,22.751177"
B0HAMC1EY3,B0HGO9VVN8,M8体育格斗综合运动馆(壹方城店),体育休闲服务;运动场馆;综合体育馆,新安街道海旺社区N12区新湖路99号壹方中心北区3层045,"113.887722,22.552497"
B0GDXZR41O,B0G1UAQD48,深圳跃星极枫Tricking极限特技空翻俱乐部,体育休闲服务;运动场馆;综合体育馆,西丽沿河路九祥岭健丽文体馆3楼,"113.959294,22.583775"
B0FFMC2OGZ,,新桥足球体育公园,体育休闲服务;运动场馆;运动场所,新和大道与中心路交叉路口往南约150米,"113.830211,22.745554"
B0FFMDBLHG,,跃动运动馆(深圳西乡校区),体育休闲服务;运动场馆;运动场所,西乡街道共乐社区共和工业路明月花都2层,"113.868633,22.581797"
B0FFFA0088,,深圳市沙井万丰羽毛球馆,体育休闲服务;运动场馆;羽毛球场,沙井镇万丰公园内(丽莎花都站上城铭邸方向)(近沙井天虹),"113.824761,22.716384"
B02F37W5VP,,沙河文体中心羽毛球馆,体育休闲服务;运动场馆;羽毛球场,白石洲新中路4号,"113.966269,22.544712"
B0FFFV20M1,,兴东羽毛球馆,体育休闲服务;运动场馆;羽毛球场,71区留仙二路二巷12号(兴东警务室旁),"113.916139,22.582781"
B0FFF437DQ,B02F38JKY5,汇景花园游泳池,体育休闲服务;运动场馆;游泳馆,科兴路11-1号(深大地铁站A3口步行350米),"113.943373,22.540889"
B0G1R94XTJ,,常青滕拳击俱乐部(宝体店),体育休闲服务;运动场馆;运动场所,罗田路宝体中心体育馆东门一楼南107室,"113.884007,22.559997"
B0FFF62OP1,,麒麟花园游泳池,体育休闲服务;运动场馆;游泳馆,麒麟花园内,"113.931637,22.544624"
B02F38JF34,,万国(深圳)国际击剑运动中心,体育休闲服务;运动场馆;运动场所,滨海大道3001号深圳湾体育中心北门,"113.948629,22.518994"
B0IU5AW7O4,,莱德队长儿童运动中心宝安校区,体育休闲服务;运动场馆;综合体育馆,新安街道安乐花园华创达c栋103号,"113.902760,22.550295"
B0H34Z38L8,,超辑柠檬Super Lemon女子运动塑型,体育休闲服务;运动场馆;综合体育馆,潮州西街美加广场B座1201,"113.977778,22.538249"
B0H3JS55RE,,super kid儿童运动馆(香山里校区),体育休闲服务;运动场馆;综合体育馆,沙河街道香山里四期商铺L105-8,"113.966671,22.550443"
B0I6B5TDE3,,星光荟文体中心,体育休闲服务;运动场馆;综合体育馆,广东省深圳市光明区合水口街道松白路5015号,"113.891420,22.776907"
B0FFILCLV9,B0FFH8RTJA,城市舞集-派澜舞蹈(南山校区),体育休闲服务;运动场馆;综合体育馆,桃园路106号苏豪名厦402,"113.919510,22.532948"
B0FFGXUV1T,,桃源村游泳池,体育休闲服务;运动场馆;游泳馆,桃源村文化中心,"113.978353,22.556522"
B02F38PGCL,,高新区文体中心,体育休闲服务;运动场馆;运动场所|体育休闲服务;休闲场所;休闲场所,高新中二道10号,"113.940254,22.546824"
B0FFF5CWX9,B02F38UZYI,丽山文体公园篮球场,体育休闲服务;运动场馆;篮球场馆,丽山路和学院大道交汇处民企科技园宿舍后面,"113.963427,22.588869"
B02F38J0KH,,坦克武馆,体育休闲服务;运动场馆;运动场所,南头城街2-1,"113.923087,22.545101"
B0FFHEKNCF,,V5篮球馆(跨界空间店),体育休闲服务;运动场馆;篮球场馆,龙珠四路龙井村金谷创业园跨界空间楼顶天台,"113.973595,22.561355"
B0FFK6TCS8,,南海足球公园,体育休闲服务;运动场馆;足球场,北环南海大道交叉口直升机场前几百米,"113.931936,22.554301"
B02F37VJ77,,卓越台球俱乐部,体育休闲服务;运动场馆;台球厅,石岩街道龙腾社区宝石西路126-1,"113.928934,22.684333"
B0FFFD3SOD,,总裁俱乐部篮球场,体育休闲服务;运动场馆;篮球场馆,渔舟畅碗(科技园店)附近,"113.941204,22.546825"
B02F38K8TV,,公明文化体育中心,体育休闲服务;运动场馆;综合体育馆,建设西路10号,"113.891124,22.7832"
B0IAV1P5G4,,领越运动馆(少儿体适能乒乓球跳绳网球),体育休闲服务;运动场馆;综合体育馆,航城大道塘东光电大厦二楼202,"113.855478,22.607347"
B0HD35PK92,,伯爵马术,体育休闲服务;运动场馆;马术俱乐部,南头街道南联社区二线路十七中队4号,"113.916166,22.560976"
B03017UO2S,,上沙体育馆,体育休闲服务;运动场馆;综合体育馆,长安镇上沙社区中山北路79号10栋,"113.755501,22.789888"
B02F37V8N7,,桥头羽毛球馆,体育休闲服务;运动场馆;羽毛球场,育才路18号,"113.810852,22.696444"
B0FFFS1C18,B0FFF9ZQK6,波托菲诺会所-游泳馆,体育休闲服务;运动场馆;游泳馆,香山中街1-11号波托菲诺会所,"113.974764,22.546532"
B02F38JOEE,,科北文体中心,体育休闲服务;运动场馆;运动场所,乌石头路13-9号,"113.947864,22.560553"
B0FFGYN8OI,,创世纪滨海花园游泳池,体育休闲服务;运动场馆;游泳馆,书山路3008号,"113.930789,22.523244"
B02F38MHGO,B02F38IGU3,沙河公园网球场,体育休闲服务;运动场馆;网球场,北环大道8228号大沙河公园,"113.963902,22.557676"
B0FFFHC0CZ,B02F38SK9D,南山文体中心体育馆,体育休闲服务;运动场馆;综合体育馆,南山大道南山区文体中心,"113.922847,22.536972"
B0FFGEDUS2,,TCL国际E城篮球场,体育休闲服务;运动场馆;篮球场馆,TCL科学园国际E城(南坪快速西),"113.929334,22.575365"
B02F38ITTV,,新桥羽毛球馆,体育休闲服务;运动场馆;羽毛球场,沙井北环路112号,"113.834884,22.739378"
B02F38J02J,,海旺羽毛球馆,体育休闲服务;运动场馆;羽毛球场,宝安大道1143号,"113.893026,22.555688"
B0FFHNSFU3,,龙光社区光前村篮球场,体育休闲服务;运动场馆;篮球场馆,龙井路北50米,"113.961741,22.562827"
B0FFHFHJI7,B0FFH0IFHG,纪元体育运动公园-篮球场,体育休闲服务;运动场馆;篮球场馆|体育休闲服务;运动场馆;足球场,文华路纪元体育运动公园(科苑山庄),"113.948046,22.548760"
B02F38JOEU,,下村足球场,体育休闲服务;运动场馆;足球场,下村路195附近,"113.888024,22.791889"
