0,1,2,3,4,5
B0FFLK13HS,,白石厦社区兼职消防队接警室,政府机构及社会团体;公检法机构;消防机关,立新湖公园东2门西南270米,"113.825655,22.679874"
B0FFL4O2YL,,深圳市南山区大磡专职消防队,政府机构及社会团体;公检法机构;消防机关,王京坑路与大磡商业街交叉口北80米,"113.975085,22.621131"
B0FFL0F01O,,西丽街道九祥岭村兼职消防队,政府机构及社会团体;公检法机构;消防机关,南天路14-1附近,"113.957039,22.584515"
B0FFK2TNMI,,西乡街道流塘社区微型消防站,政府机构及社会团体;公检法机构;消防机关,流塘路132附近,"113.888236,22.581549"
B0FFK1NEPF,,深圳市南山区西丽消防救援站,政府机构及社会团体;公检法机构;消防机关,留仙洞地铁站B口步行430米,"113.947964,22.581235"
B0H6HHGM2H,,宝安区消防大队松岗消防救援站,政府机构及社会团体;公检法机构;消防机关,松裕路34号,"113.846263,22.755537"
B0GKOH987V,,深圳市宝安区马安山专职消防队,政府机构及社会团体;公检法机构;消防机关,鞍山五路与安新路交叉口西20米,"113.814928,22.720074"
B0FFI5XJMN,,翻身派出所消防监督管理队,政府机构及社会团体;公检法机构;消防机关,自由路115号,"113.889253,22.569185"
B0GR6KVXJX,,深圳市宝安区第十九专职消防队,政府机构及社会团体;公检法机构;消防机关,立新南路与翠岗西路交叉口西北60米,"113.817104,22.663211"
B0IBFU18C1,,深圳市消防救援支队特勤大队二站,政府机构及社会团体;公检法机构;消防机关,玉园路1号,"113.925184,22.541689"
B0FFLJX2CW,,深圳市宝安区第十六专职消防队,政府机构及社会团体;公检法机构;消防机关,大王山工业四路一号,"113.803640,22.711250"
B0FFK7NVTV,,松岗街道洪桥头社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,洪桥头路麒麟山公园西侧约60米,"113.841374,22.785133"
B0FFGCT4DU,,新乐派出所消防监督管理队,政府机构及社会团体;公检法机构;消防机关,海乐路7-5附近,"113.900537,22.553529"
B0FFGLP63H,,深圳市光明区消防救援大队,政府机构及社会团体;公检法机构;消防机关,公明街道将石社区下石家21号,"113.900172,22.764101"
B0FFGIVP42,,学岗派出所消防监督管理队,政府机构及社会团体;公检法机构;消防机关,坣岗大道消防楼左侧坣岗派出所附近,"113.822735,22.735738"
B0FFIVPNOH,,深圳市宝安区第三专职消防队,政府机构及社会团体;公检法机构;消防机关,福园二路11附近,"113.782165,22.687659"
B0FFIPQLGN,,深圳市宝安区第七专职消防队,政府机构及社会团体;公检法机构;消防机关,74区布心二村东一巷4号,"113.895790,22.587356"
B0FFILY39F,,松岗街道东方社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,东方一街与恒嘉路交叉口西南20米,"113.847155,22.762989"
B0FFIK9LOC,,松岗街道江边社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,松岗镇江边村江边工业区创业二路口江边警务室旁边江边社区警务室附近,"113.813470,22.772220"
B0FFIIXJRX,,燕罗街道燕川社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,园岭北路燕岭公园东南侧约80米,"113.863718,22.803524"
B0FFIACY7O,,松岗街道松涛社区小型消防站,政府机构及社会团体;公检法机构;消防机关,胜利路98号,"113.846548,22.764017"
B0FFI11NYE,,宝安区第十六政府专职消防队,政府机构及社会团体;公检法机构;消防机关,大王山工业四路一号,"113.803752,22.711114"
B0FFHM88LF,,深圳市宝安区第八专职消防队,政府机构及社会团体;公检法机构;消防机关,固戍2路星辉科技园旁,"113.854797,22.604113"
B0I6BDQSO4,,玉塘办事处义务消防队指挥调度中心,政府机构及社会团体;公检法机构;消防机关,高强路与田辉一路交叉口西100米,"113.901727,22.722460"
B0FFHBNU6K,,深圳市宝安区第十专职消防队,政府机构及社会团体;公检法机构;消防机关,新和大道72号,"113.814571,22.756488"
B0FFH9U8BK,,深圳市宝安区第四专职消防队,政府机构及社会团体;公检法机构;消防机关,沙井街道民福路17号,"113.803896,22.723338"
B0FFHFQGO0,,新田消防分队(栎宜酒店东北),政府机构及社会团体;公检法机构;消防机关,新田大道419号附近,"113.831471,22.697543"
B0FFK7K2X9,,石岩街道浪心社区砖厂兼职消防队,政府机构及社会团体;公检法机构;消防机关,宝石南路196号附近,"113.934077,22.678737"
B0HU27TKQ2,,深圳市宝安区森林消防大队直属三中队,政府机构及社会团体;公检法机构;消防机关,阳台山森林公园,"113.941973,22.665540"
B0FFG8I64B,,深圳市公安局宝安分局消防监督管理大队,政府机构及社会团体;公检法机构;消防机关,兴华二路141号,"113.909699,22.568921"
B0FFMB2IDM,,宝安区石岩街道麻布新村微型消防站,政府机构及社会团体;公检法机构;消防机关,麻布新村六巷与麻布新村五巷交叉口东北220米,"113.901609,22.675278"
B0FFGHE463,,深圳市公安消防支队宝安区大队沙井中队,政府机构及社会团体;公检法机构;消防机关,沙井镇黄浦路124号,"113.837037,22.711181"
B0FFI7XL5N,,宝安区福永街道第六专职消防队,政府机构及社会团体;公检法机构;消防机关,水库路90-3号附近,"113.820575,22.692423"
B0FFHTY881,,宝安区新安街道第一专职消防队,政府机构及社会团体;公检法机构;消防机关,甲岸路18-18号附近,"113.900447,22.554475"
B0FFHGM4XF,,深圳市宝安区第十四专职消防队,政府机构及社会团体;公检法机构;消防机关,宝安中心区尖岗山大道卧龙五路交界处,"113.899647,22.596681"
B0FFH9ADBW,,深圳市宝安区第十一专职消防队,政府机构及社会团体;公检法机构;消防机关,塘下涌街道128号,"113.841370,22.806994"
B02F38JO1V,,塘尾社区居委会消防应急队办公室,政府机构及社会团体;公检法机构;消防机关,沙田坑南路与高墩北路交叉口东南40米,"113.902905,22.748132"
B02F38JN7U,,光明区薯田埔专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,福前路20号,"113.874598,22.781426"
B0H0U7P3T4,,深圳市光明区公明消防救援站西田小型站,政府机构及社会团体;公检法机构;消防机关,公明街道长春北路,"113.902726,22.798318"
B0G23ACFRM,,深圳市宝安区新安街道第五专职消防队,政府机构及社会团体;公检法机构;消防机关,宝民一路文汇花园,"113.894085,22.569747"
B0H34L3OQ1,,深圳市公安局南山分局消防监督管理大队,政府机构及社会团体;公检法机构;消防机关,深南大道10288号,"113.925235,22.540926"
B0FFH0YTHH,,宝安区新安街道第四专职消防队,政府机构及社会团体;公检法机构;消防机关,怡景南三巷1号,"113.891065,22.566530"
B0G23OFSE7,,石岩街道龙腾社区上排居委会兼职消防队,政府机构及社会团体;公检法机构;消防机关,上排村路上排公园东南侧约120米,"113.935835,22.687787"
B0FFL52193,,深圳市宝安区新安街道第二专职消防队,政府机构及社会团体;公检法机构;消防机关,留仙一路四巷46号附近,"113.913484,22.583803"
B0FFGRDIZY,,深圳市宝安区第十五专职消防队,政府机构及社会团体;公检法机构;消防机关,工业二路附近,"113.831927,22.639597"
B0FFHGO0HQ,,深圳市光明区李松蓢专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,河堤路91附近,"113.891424,22.798898"
B0FFMBT001,,宝安区综合应急救援大队沙井消防救援站,政府机构及社会团体;公检法机构;消防机关,黄埔路124号,"113.836833,22.711101"
B0FFHGNAEC,,深圳市宝安区福永街道第七专职消防队,政府机构及社会团体;公检法机构;消防机关,宝安74区东一巷4号,"113.831438,22.697513"
B0FFLJ32GI,,光明新区公安消防大队田寮社区专职消防队,政府机构及社会团体;公检法机构;消防机关,高福路与田辉一路交叉口西120米,"113.901633,22.722329"
B0IB1AD09Q,,深圳市光明区光明街道光明社区小型消防救援站,政府机构及社会团体;公检法机构;消防机关,光翠路深圳华庭酒店(光翠路店)南侧约50米,"113.942411,22.757399"
B02F38JP06,,松岗街道红花村城中村兼职消防队,政府机构及社会团体;公检法机构;消防机关,园心街149附近,"113.848911,22.770350"
B0FFIPE16F,,深圳市宝安区沙井街道第三专职消防队,政府机构及社会团体;公检法机构;消防机关,大朗山西路22-2号,"113.819414,22.711770"
B0FFINNOBP,,深圳市宝安区沙井街道第五专职消防队,政府机构及社会团体;公检法机构;消防机关,和一一路好万年购物广场东侧约200米,"113.787535,22.716146"
B0FFI1307Z,,深圳市宝安区新安街道第三专职消防队,政府机构及社会团体;公检法机构;消防机关,布心二村东一巷5号附近,"113.895907,22.587164"
B0FFHRDZ7H,,长安消防,政府机构及社会团体;公检法机构;消防机关|购物服务;专卖店;专营店,长安振安东路533号,"113.802458,22.786130"
B0FFIQDGL8,,深圳市公安消防支队宝安区大队宝安中队,政府机构及社会团体;公检法机构;消防机关,兴华二路,"113.909758,22.568775"
B0FFG1B0K8,,白石厦消防分队,政府机构及社会团体;公检法机构;消防机关,龙二路与龙横一路交叉口南100米,"113.839234,22.671584"
B0FFFW3XHH,,光明区第四专职消防队,政府机构及社会团体;公检法机构;消防机关,长圳路585号附近,"113.916120,22.718102"
B0FFKTJ8C7,,乌沙兼职消防队,政府机构及社会团体;公检法机构;消防机关,海滨路1号,"113.784332,22.775592"
B0FFLGFQ6G,,东莞市森林消防大队,政府机构及社会团体;公检法机构;消防机关,鸡公仔步道与花灯盏路交叉口西南440米,"113.779328,22.836278"
B0FFM0XA5C,,长安消防,政府机构及社会团体;公检法机构;消防机关,街口中路与太安路交叉口西北20米,"113.784444,22.797221"
B0H15CVQAR,,深圳市宝安区新安街道海滨社区罗田路新乐消防救援站,政府机构及社会团体;公检法机构;消防机关,新安街道海滨社区罗田路,"113.870595,22.551763"
B0FFHHU3PL,,深圳市公安消防支队光明区大队公明中队,政府机构及社会团体;公检法机构;消防机关,奥园峯荟对面,"113.900524,22.764282"
B0FFHF5FNP,,宝安区公安消防大队沙井中队加强型分队,政府机构及社会团体;公检法机构;消防机关,沙井镇金沙一路鸿仁电子厂隔壁,"113.803904,22.723326"
B0HRMCIDFT,,黄江镇梅塘消防站,政府机构及社会团体;公检法机构;消防机关,黄江镇公常路与风湖路交叉口北50米,"113.974985,22.821532"
B0HK7RLBKL,,长安镇消防所,政府机构及社会团体;公检法机构;消防机关,德政中路80号,"113.811282,22.815200"
B0FFGPGFTE,,东莞华安消防长安办事处,政府机构及社会团体;公检法机构;消防机关,建安路732号附近,"113.752736,22.771122"
B030105HH1,,东莞市消防救援支队长安大队,政府机构及社会团体;公检法机构;消防机关,德政中路80号,"113.811054,22.814958"
B0FFKKSSSX,,长安镇上沙社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,沙溪路与中南北路交叉口南40米,"113.755486,22.793980"
B030105HGH,,东莞市公安局长安分局消防股,政府机构及社会团体;公检法机构;消防机关,长安镇德政中路与莲花路交叉口东北100米,"113.811206,22.815204"
B0FFI8JMOQ,,东莞市长安镇咸西社区消防队,政府机构及社会团体;公检法机构;消防机关,泰达路蓝悦酒店东侧约150米,"113.804789,22.823553"
B0FFM4L1TJ,,长安镇涌头霄边社区消防分站,政府机构及社会团体;公检法机构;消防机关,长安镇涌溪西坊二十八巷32号,"113.823579,22.801891"
B0GUPKWOC1,,东莞市长安镇第一专职消防队,政府机构及社会团体;公检法机构;消防机关,长安镇德政中路80号,"113.811023,22.815011"
B0FFFXC51P,,东莞市大岭山镇专职消防队,政府机构及社会团体;公检法机构;消防机关,水简街149号附近,"113.845012,22.854293"
